Order_number,Product_key,Customer_key,Order_date,Ship_date,Due_date,Quantity,Price,Sales
SO52967,206,354,2013-02-19,2013-02-26,2013-03-03,1,10,10
SO52983,206,10788,2013-02-19,2013-02-26,2013-03-03,1,10,10
SO52984,206,1184,2013-02-19,2013-02-26,2013-03-03,1,10,10
SO52988,206,3783,2013-02-19,2013-02-26,2013-03-03,1,10,10
SO52998,206,529,2013-02-19,2013-02-26,2013-03-03,1,10,10
SO53006,206,396,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53013,206,13900,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53029,206,10721,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53030,206,4499,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53031,206,10160,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53045,206,7759,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53048,206,1033,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53054,206,838,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53062,206,1012,2013-02-20,2013-02-27,2013-03-04,1,10,10
SO53096,206,3656,2013-02-21,2013-02-28,2013-03-05,1,10,10
SO53122,206,299,2013-02-21,2013-02-28,2013-03-05,1,10,10
SO53149,206,3329,2013-02-22,2013-03-01,2013-03-06,1,10,10
SO53157,206,2803,2013-02-22,2013-03-01,2013-03-06,1,10,10
SO53166,206,4379,2013-02-22,2013-03-01,2013-03-06,1,10,10
SO53191,206,13278,2013-02-23,2013-03-02,2013-03-07,1,10,10
SO53195,206,3852,2013-02-23,2013-03-02,2013-03-07,1,10,10
SO53206,206,10497,2013-02-23,2013-03-02,2013-03-07,1,10,10
SO53208,206,12255,2013-02-23,2013-03-02,2013-03-07,1,10,10
SO53207,206,10351,2013-02-23,2013-03-02,2013-03-07,1,10,10
SO53256,206,11735,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53257,206,4008,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53258,206,6120,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53259,206,9440,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53260,206,10475,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53278,206,8218,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53280,206,275,2013-02-24,2013-03-03,2013-03-08,1,10,10
SO53291,206,1739,2013-02-25,2013-03-04,2013-03-09,1,10,10
SO53307,206,10784,2013-02-25,2013-03-04,2013-03-09,1,10,10
SO53327,206,7975,2013-02-25,2013-03-04,2013-03-09,1,10,10
SO53337,206,945,2013-02-25,2013-03-04,2013-03-09,1,10,10
SO53368,206,10444,2013-02-26,2013-03-05,2013-03-10,1,10,10
SO53409,206,4607,2013-02-27,2013-03-06,2013-03-11,1,10,10
SO53410,206,753,2013-02-27,2013-03-06,2013-03-11,1,10,10
SO53417,206,12275,2013-02-27,2013-03-06,2013-03-11,1,10,10
SO53426,206,9105,2013-02-27,2013-03-06,2013-03-11,1,10,10
SO53433,206,1724,2013-02-27,2013-03-06,2013-03-11,1,10,10
SO53637,206,10446,2013-02-28,2013-03-07,2013-03-12,1,10,10
SO53663,206,1292,2013-03-01,2013-03-08,2013-03-13,1,10,10
SO53677,206,8504,2013-03-01,2013-03-08,2013-03-13,1,10,10
SO53686,206,3633,2013-03-01,2013-03-08,2013-03-13,1,10,10
SO53739,206,3456,2013-03-02,2013-03-09,2013-03-14,1,10,10
SO53760,206,1143,2013-03-02,2013-03-09,2013-03-14,1,10,10
SO53780,206,17940,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53785,206,2796,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53792,206,10300,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53794,206,9507,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53808,206,4070,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53819,206,1984,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53820,206,4557,2013-03-03,2013-03-10,2013-03-15,1,10,10
SO53839,206,11743,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53842,206,10159,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53844,206,9495,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53852,206,209,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53855,206,1191,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53857,206,1154,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53866,206,916,2013-03-04,2013-03-11,2013-03-16,1,10,10
SO53876,206,1131,2013-03-05,2013-03-12,2013-03-17,1,10,10
SO53889,206,9733,2013-03-05,2013-03-12,2013-03-17,1,10,10
SO53890,206,10473,2013-03-05,2013-03-12,2013-03-17,1,10,10
SO53909,206,1123,2013-03-05,2013-03-12,2013-03-17,1,10,10
SO53927,206,126,2013-03-06,2013-03-13,2013-03-18,1,10,10
SO53939,206,10433,2013-03-06,2013-03-13,2013-03-18,1,10,10
SO53940,206,9637,2013-03-06,2013-03-13,2013-03-18,1,10,10
SO53942,206,2145,2013-03-06,2013-03-13,2013-03-18,1,10,10
SO53971,206,100,2013-03-06,2013-03-13,2013-03-18,1,10,10
SO53978,206,490,2013-03-07,2013-03-14,2013-03-19,1,10,10
SO53979,206,492,2013-03-07,2013-03-14,2013-03-19,1,10,10
SO54024,206,1153,2013-03-07,2013-03-14,2013-03-19,1,10,10
SO54040,206,573,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54042,206,2984,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54047,206,13277,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54055,206,507,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54067,206,3843,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54068,206,10454,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54072,206,1799,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54087,206,4901,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54088,206,8024,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54090,206,1207,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54092,206,1187,2013-03-08,2013-03-15,2013-03-20,1,10,10
SO54105,206,1329,2013-03-09,2013-03-16,2013-03-21,1,10,10
SO54111,206,1125,2013-03-09,2013-03-16,2013-03-21,1,10,10
SO54118,206,713,2013-03-09,2013-03-16,2013-03-21,1,10,10
SO54140,206,1014,2013-03-09,2013-03-16,2013-03-21,1,10,10
SO54164,206,3983,2013-03-10,2013-03-17,2013-03-22,1,10,10
SO54190,206,1126,2013-03-11,2013-03-18,2013-03-23,1,10,10
SO54200,206,60,2013-03-11,2013-03-18,2013-03-23,1,10,10
SO54203,206,6718,2013-03-11,2013-03-18,2013-03-23,1,10,10
SO54218,206,263,2013-03-11,2013-03-18,2013-03-23,1,10,10
SO54250,206,1130,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54251,206,579,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54256,206,547,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54266,206,2556,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54267,206,605,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54275,206,10689,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54277,206,511,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54299,206,1073,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54302,206,762,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54303,206,763,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54307,206,112,2013-03-12,2013-03-19,2013-03-24,1,10,10
SO54318,206,429,2013-03-13,2013-03-20,2013-03-25,1,10,10
SO54364,206,465,2013-03-13,2013-03-20,2013-03-25,1,10,10
SO54377,206,2542,2013-03-14,2013-03-21,2013-03-26,1,10,10
SO54378,206,1316,2013-03-14,2013-03-21,2013-03-26,1,10,10
SO54386,206,3927,2013-03-14,2013-03-21,2013-03-26,1,10,10
SO54387,206,2560,2013-03-14,2013-03-21,2013-03-26,1,10,10
SO54415,206,1563,2013-03-14,2013-03-21,2013-03-26,1,10,10
SO54436,206,80,2013-03-15,2013-03-22,2013-03-27,1,10,10
SO54445,206,10322,2013-03-15,2013-03-22,2013-03-27,1,10,10
SO54446,206,5773,2013-03-15,2013-03-22,2013-03-27,1,10,10
SO54447,206,3372,2013-03-15,2013-03-22,2013-03-27,1,10,10
SO54468,206,536,2013-03-15,2013-03-22,2013-03-27,1,10,10
SO54478,206,440,2013-03-16,2013-03-23,2013-03-28,1,10,10
SO54488,206,4341,2013-03-16,2013-03-23,2013-03-28,1,10,10
SO54514,206,3104,2013-03-16,2013-03-23,2013-03-28,1,10,10
SO54519,206,98,2013-03-16,2013-03-23,2013-03-28,1,10,10
SO54528,206,1134,2013-03-17,2013-03-24,2013-03-29,1,10,10
SO54551,206,12252,2013-03-17,2013-03-24,2013-03-29,1,10,10
SO54552,206,2186,2013-03-17,2013-03-24,2013-03-29,1,10,10
SO54553,206,10699,2013-03-17,2013-03-24,2013-03-29,1,10,10
SO54582,206,907,2013-03-17,2013-03-24,2013-03-29,1,10,10
SO54593,206,72,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54604,206,2561,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54613,206,11010,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54617,206,3503,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54618,206,3726,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54641,206,2067,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54642,206,8022,2013-03-18,2013-03-25,2013-03-30,1,10,10
SO54660,206,1317,2013-03-19,2013-03-26,2013-03-31,1,10,10
SO54702,206,3108,2013-03-19,2013-03-26,2013-03-31,1,10,10
SO54733,206,6027,2013-03-20,2013-03-27,2013-04-01,1,10,10
SO54735,206,3724,2013-03-20,2013-03-27,2013-04-01,1,10,10
SO54736,206,11024,2013-03-20,2013-03-27,2013-04-01,1,10,10
SO54757,206,1018,2013-03-20,2013-03-27,2013-04-01,1,10,10
SO54784,206,12697,2013-03-21,2013-03-28,2013-04-02,1,10,10
SO54794,206,2611,2013-03-21,2013-03-28,2013-04-02,1,10,10
SO54799,206,6469,2013-03-21,2013-03-28,2013-04-02,1,10,10
SO54827,206,1336,2013-03-22,2013-03-29,2013-04-03,1,10,10
SO54840,206,12273,2013-03-22,2013-03-29,2013-04-03,1,10,10
SO54841,206,1940,2013-03-22,2013-03-29,2013-04-03,1,10,10
SO54892,206,74,2013-03-23,2013-03-30,2013-04-04,1,10,10
SO54893,206,75,2013-03-23,2013-03-30,2013-04-04,1,10,10
SO54900,206,10634,2013-03-23,2013-03-30,2013-04-04,1,10,10
SO54903,206,9414,2013-03-23,2013-03-30,2013-04-04,1,10,10
SO54934,206,1318,2013-03-24,2013-03-31,2013-04-05,1,10,10
SO54995,206,10359,2013-03-25,2013-04-01,2013-04-06,1,10,10
SO55015,206,8025,2013-03-25,2013-04-01,2013-04-06,1,10,10
SO55019,206,1163,2013-03-25,2013-04-01,2013-04-06,1,10,10
SO55020,206,1083,2013-03-25,2013-04-01,2013-04-06,1,10,10
SO55037,206,4427,2013-03-26,2013-04-02,2013-04-07,1,10,10
SO55053,206,10299,2013-03-26,2013-04-02,2013-04-07,1,10,10
SO55054,206,9513,2013-03-26,2013-04-02,2013-04-07,1,10,10
SO55093,206,550,2013-03-27,2013-04-03,2013-04-08,1,10,10
SO55108,206,11143,2013-03-27,2013-04-03,2013-04-08,1,10,10
SO55109,206,6028,2013-03-27,2013-04-03,2013-04-08,1,10,10
SO55128,206,4828,2013-03-27,2013-04-03,2013-04-08,1,10,10
SO55146,206,1751,2013-03-28,2013-04-04,2013-04-09,1,10,10
SO55175,206,765,2013-03-28,2013-04-04,2013-04-09,1,10,10
SO55176,206,893,2013-03-28,2013-04-04,2013-04-09,1,10,10
SO55196,206,9514,2013-03-29,2013-04-05,2013-04-10,1,10,10
SO55197,206,1364,2013-03-29,2013-04-05,2013-04-10,1,10,10
SO55199,206,9767,2013-03-29,2013-04-05,2013-04-10,1,10,10
SO55200,206,9521,2013-03-29,2013-04-05,2013-04-10,1,10,10
SO55227,206,4831,2013-03-29,2013-04-05,2013-04-10,1,10,10
SO55333,206,1641,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55335,206,459,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55348,206,10308,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55353,206,7638,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55355,206,1839,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55368,206,1897,2013-03-30,2013-04-06,2013-04-11,1,10,10
SO55411,206,11035,2013-03-31,2013-04-07,2013-04-12,1,10,10
SO55412,206,10776,2013-03-31,2013-04-07,2013-04-12,1,10,10
SO55413,206,5332,2013-03-31,2013-04-07,2013-04-12,1,10,10
SO55417,206,2374,2013-03-31,2013-04-07,2013-04-12,1,10,10
SO55435,206,1662,2013-03-31,2013-04-07,2013-04-12,1,10,10
SO55453,206,1386,2013-04-01,2013-04-08,2013-04-13,1,10,10
SO55454,206,1214,2013-04-01,2013-04-08,2013-04-13,1,10,10
SO55471,206,10803,2013-04-01,2013-04-08,2013-04-13,1,10,10
SO55472,206,9706,2013-04-01,2013-04-08,2013-04-13,1,10,10
SO55510,206,18305,2013-04-02,2013-04-09,2013-04-14,1,10,10
SO55522,206,10751,2013-04-02,2013-04-09,2013-04-14,1,10,10
SO55529,206,3455,2013-04-02,2013-04-09,2013-04-14,1,10,10
SO55556,206,1282,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55569,206,6388,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55574,206,5959,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55581,206,2760,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55593,206,8130,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55595,206,8122,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55596,206,8123,2013-04-03,2013-04-10,2013-04-15,1,10,10
SO55624,206,6983,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55631,206,9506,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55640,206,4261,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55643,206,10472,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55662,206,1927,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55666,206,1354,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55669,206,1011,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55670,206,989,2013-04-04,2013-04-11,2013-04-16,1,10,10
SO55682,206,615,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55698,206,12733,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55699,206,7323,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55703,206,3354,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55711,206,8048,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55719,206,1866,2013-04-05,2013-04-12,2013-04-17,1,10,10
SO55739,206,2256,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55762,206,10781,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55763,206,12008,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55768,206,3446,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55774,206,3944,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55787,206,1723,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55789,206,2070,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55790,206,8112,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55791,206,2069,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55794,206,2204,2013-04-06,2013-04-13,2013-04-18,1,10,10
SO55819,206,4217,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55839,206,9635,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55840,206,2198,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55844,206,3569,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55848,206,1738,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55854,206,3888,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55859,206,1343,2013-04-07,2013-04-14,2013-04-19,1,10,10
SO55868,206,584,2013-04-08,2013-04-15,2013-04-20,1,10,10
SO55870,206,1211,2013-04-08,2013-04-15,2013-04-20,1,10,10
